dataset,window_id,seed,policy,loss,rmse,missed_vio,max_age,jain_payload
beijing,0,50260,AoII+debt,0.007461047701057086,3.276587207183809,0.0,5.0,0.9998074634180483
beijing,0,50260,AoII-greedy,0.00794403092651934,3.3559848590297854,0.0,5.0,0.9300670834961564
beijing,0,50260,CAW-VoU,0.006293383644424704,3.009561206146607,0.0,6.0,0.9987847632036778
beijing,0,50260,MaxWeight-AoI,0.004869789083942553,2.6481904798013107,0.0,4.0,0.9955469573780195
beijing,0,50260,MaxWeight-VoU,0.006184487616962626,2.935726796838791,0.0,164.0,0.9320703609424962
beijing,0,50260,VoI+debt,0.004403660937404045,2.5273125760217625,0.0,4.0,0.9954688834283114
beijing,0,50260,VoI-greedy,0.004404609347570534,2.5276134940520816,0.0,4.0,0.9945589246693991
beijing,0,50260,Whittle-heuristic,0.017614684158069393,4.249982453647632,0.0,223.0,0.8085753921069015
beijing,1,50277,AoII+debt,0.2301725727138944,2.462621455043379,3.765690376569038,5.0,0.998968170689051
beijing,1,50277,AoII-greedy,0.19656110181700842,2.413937980572745,3.2078103207810322,5.0,0.8040851087790417
beijing,1,50277,CAW-VoU,0.21174388878954747,2.5686398431142794,3.4518828451882846,3.0,0.9997812141738198
beijing,1,50277,MaxWeight-AoI,0.26259722119339135,2.15454635049159,4.323570432357044,3.0,0.9947147994322969
beijing,1,50277,MaxWeight-VoU,0.21487845569882935,2.777699007830839,3.486750348675035,3.0,0.9918131701176357
beijing,1,50277,VoI+debt,0.2142270001240682,2.0600322079852487,3.5216178521617856,3.0,0.9873131103621111
beijing,1,50277,VoI-greedy,0.21422844056657672,2.0627456596430607,3.5216178521617856,3.0,0.987927843788373
beijing,1,50277,Whittle-heuristic,0.2248559303155939,2.8944840632931985,3.626220362622036,31.0,0.7584279360021238
beijing,2,50294,AoII+debt,0.18165945071525005,2.342356518798528,2.96373779637378,7.0,0.9994400993823584
beijing,2,50294,AoII-greedy,0.1967636075917805,2.44958860919915,3.2078103207810322,6.0,0.8369193351061874
beijing,2,50294,CAW-VoU,0.16920078060004046,2.3498824101982563,2.7545327754532773,5.0,0.9995187975187438
beijing,2,50294,MaxWeight-AoI,0.19753239267588513,2.077071134270376,3.2426778242677825,4.0,0.9976334564634571
beijing,2,50294,MaxWeight-VoU,0.1434897351547258,2.760491265539955,2.301255230125523,12.0,0.996093818118405
beijing,2,50294,VoI+debt,0.1533419459435109,1.9851899992205977,2.510460251046025,3.0,0.9895451671300737
beijing,2,50294,VoI-greedy,0.15753664050756516,1.9889859864922828,2.580195258019526,3.0,0.9880816467739134
beijing,2,50294,Whittle-heuristic,0.22151451966523963,3.460383820918786,3.486750348675035,169.0,0.8018164080320602
beijing,3,50311,AoII+debt,0.17642123161675655,2.644864657573906,2.8591352859135286,8.0,0.9999387303171132
beijing,3,50311,AoII-greedy,0.1813400836937981,2.8127020029874834,2.928870292887029,9.0,0.8689058245485929
beijing,3,50311,CAW-VoU,0.2199693883623446,2.5285573646788415,3.5913528591352857,4.0,0.9989943772571847
beijing,3,50311,MaxWeight-AoI,0.18532748051592332,2.196274451534849,3.0334728033472804,5.0,0.9972938054333392
beijing,3,50311,MaxWeight-VoU,0.20075962092231048,2.9422110205730365,3.2426778242677825,5.0,0.9924852528516934
beijing,3,50311,VoI+debt,0.19351640568463077,2.127098579885704,3.1729428172942815,4.0,0.9922266517279403
beijing,3,50311,VoI-greedy,0.1997817363546572,2.123518944688612,3.2775453277545328,4.0,0.9914774699715326
beijing,3,50311,Whittle-heuristic,0.2891621020089438,3.942524164003198,4.5676429567642955,229.0,0.7932645904940451
beijing,4,50328,AoII+debt,0.005973441396756502,2.9350995731255867,0.0,8.0,0.9998337140406601
beijing,4,50328,AoII-greedy,0.006495575659442426,2.996219252497905,0.0,8.0,0.917739110875467
beijing,4,50328,CAW-VoU,0.004953795881195839,2.6616517398109347,0.0,10.0,0.9990992172810343
beijing,4,50328,MaxWeight-AoI,0.004100956460481156,2.441797498796738,0.0,5.0,0.9967717167486814
beijing,4,50328,MaxWeight-VoU,0.00833948706536347,3.407602904905507,0.0,159.0,0.9262214006583311
beijing,4,50328,VoI+debt,0.003788575347498674,2.3480157377567443,0.0,4.0,0.9818906909384685
beijing,4,50328,VoI-greedy,0.0038112848982020265,2.3514748024571124,0.0,4.0,0.98004598174456
beijing,4,50328,Whittle-heuristic,0.008478658532150291,3.177911997127586,0.0,173.0,0.857363712776176
beijing,5,50345,AoII+debt,0.007842893322073354,3.366996964153504,0.0,7.0,0.9997812141738198
beijing,5,50345,AoII-greedy,0.008782009544324523,3.4751151271941088,0.0,7.0,0.9154006410256401
beijing,5,50345,CAW-VoU,0.0075917642932519245,3.2988192006294894,0.0,11.0,0.9984443279146991
beijing,5,50345,MaxWeight-AoI,0.005906391888043904,2.915533818444277,0.0,5.0,0.9986799891601748
beijing,5,50345,MaxWeight-VoU,0.011893108650163417,4.11755786081985,0.0,39.0,0.9892366974065885
beijing,5,50345,VoI+debt,0.005662674244934537,2.8548437071014052,0.0,4.0,0.9944030987509237
beijing,5,50345,VoI-greedy,0.005605776765848693,2.8342563321670258,0.0,4.0,0.9931323457820421
beijing,5,50345,Whittle-heuristic,0.010543126406588546,3.5256073787918134,0.0,128.0,0.7532820340368848
beijing,6,50362,AoII+debt,0.006798620042765835,3.128315369162815,0.0,6.0,0.9997287198200788
beijing,6,50362,AoII-greedy,0.007965221594775609,3.315846897231737,0.0,6.0,0.9085212135671389
beijing,6,50362,CAW-VoU,0.006777472159930613,3.1277545297877185,0.0,4.0,0.9973721659114906
beijing,6,50362,MaxWeight-AoI,0.004705557245262759,2.609167587617144,0.0,3.0,0.9977380110217366
beijing,6,50362,MaxWeight-VoU,0.014123063402298776,4.1392369316337705,0.0,233.0,0.88200733449141
beijing,6,50362,VoI+debt,0.00453525938466597,2.5642196655663247,0.0,3.0,0.9901111948900607
beijing,6,50362,VoI-greedy,0.004488965559095685,2.549796498118471,0.0,3.0,0.9900597110643118
beijing,6,50362,Whittle-heuristic,0.011973350330364778,3.756229617263221,0.0,199.0,0.8476120521438474
beijing,7,50379,AoII+debt,0.006611833156292018,3.0745195879633145,0.0,6.0,0.9998337140406601
beijing,7,50379,AoII-greedy,0.0076660920774777805,3.2817776275017345,0.0,6.0,0.8714310777515878
beijing,7,50379,CAW-VoU,0.005807143973027387,2.8644431466106943,0.0,8.0,0.9994925634295702
beijing,7,50379,MaxWeight-AoI,0.004018064461142865,2.415861458634453,0.0,4.0,0.9973199242245665
beijing,7,50379,MaxWeight-VoU,0.00935341835024684,3.5223314961741843,0.0,121.0,0.926807502596053
beijing,7,50379,VoI+debt,0.0038525942222206126,2.364883662594662,0.0,5.0,0.9926663538571144
beijing,7,50379,VoI-greedy,0.003865546319957955,2.3677896348608005,0.0,5.0,0.9935728511667133
beijing,7,50379,Whittle-heuristic,0.011084701889203576,3.3301833183766814,0.0,239.0,0.6977803838213552
beijing,8,50396,AoII+debt,0.007515777385476668,3.2827621984250754,0.0,6.0,0.9986014230520434
beijing,8,50396,AoII-greedy,0.009903548540102962,3.678744386997129,0.0,5.0,0.8785480832083661
beijing,8,50396,CAW-VoU,0.005848111013677616,2.8499537589572532,0.0,6.0,0.9997287198200788
beijing,8,50396,MaxWeight-AoI,0.00438998386447678,2.532320748243318,0.0,5.0,0.9978948839565688
beijing,8,50396,MaxWeight-VoU,0.014960742522156647,4.212379639241086,0.0,147.0,0.9033487526193008
beijing,8,50396,VoI+debt,0.004179947855600878,2.4702795574524044,0.0,5.0,0.9904202103218972
beijing,8,50396,VoI-greedy,0.004170596864134791,2.468403969652271,0.0,5.0,0.9900082325923989
beijing,8,50396,Whittle-heuristic,0.017086129705258937,4.333816840698172,0.0,239.0,0.801091102883428
beijing,9,50413,AoII+debt,0.19968450173139762,2.089906809294389,3.2775453277545328,4.0,0.9995450329851074
beijing,9,50413,AoII-greedy,0.19365194514456446,2.1517667665230746,3.1729428172942815,4.0,0.8537883204041665
beijing,9,50413,CAW-VoU,0.14933274044149208,2.0248805014268614,2.4407252440725244,3.0,0.9987585676318355
beijing,9,50413,MaxWeight-AoI,0.19886495649915922,1.7941953562290378,3.2775453277545328,4.0,0.9973460443839145
beijing,9,50413,MaxWeight-VoU,0.15072803719988892,2.4849020886465785,2.4407252440725244,10.0,0.9883380915304081
beijing,9,50413,VoI+debt,0.16105595293862296,1.733281695731585,2.6499302649930265,3.0,0.9961980501927123
beijing,9,50413,VoI-greedy,0.15267246582165078,1.728852241297303,2.510460251046025,3.0,0.9944290663463369
beijing,9,50413,Whittle-heuristic,0.1192689392019452,3.3045358880850397,1.778242677824268,239.0,0.7150761758115192
beijing,10,50430,AoII+debt,0.19006570443015366,2.9447453016806175,3.0683403068340307,8.0,0.9997024747103492
beijing,10,50430,AoII-greedy,0.17208347924350392,3.0729438795363215,2.7545327754532773,10.0,0.9064451373846523
beijing,10,50430,CAW-VoU,0.208399716102568,2.802931542646418,3.3821478382147836,6.0,0.9993089633575623
beijing,10,50430,MaxWeight-AoI,0.196844657441046,2.5164545320692957,3.2078103207810322,7.0,0.9969021876663426
beijing,10,50430,MaxWeight-VoU,0.19776702554792605,3.2543531952171523,3.1729428172942815,18.0,0.9824226476102014
beijing,10,50430,VoI+debt,0.2070280820589767,2.4400570138902937,3.3821478382147836,4.0,0.9938840314933217
beijing,10,50430,VoI-greedy,0.20911452975499273,2.433191978849116,3.417015341701534,4.0,0.9920198678372008
beijing,10,50430,Whittle-heuristic,0.16500997950930124,3.449390267753902,2.580195258019526,174.0,0.7876694383540859
beijing,11,50447,AoII+debt,0.18910269730418475,3.192232841486048,3.0334728033472804,10.0,0.999859966041764
beijing,11,50447,AoII-greedy,0.19129820503844353,3.1984632789341525,3.0683403068340307,8.0,0.9364482150907814
beijing,11,50447,CAW-VoU,0.1565355139484133,2.911400818035449,2.510460251046025,6.0,0.9977641530856423
beijing,11,50447,MaxWeight-AoI,0.18612962872057148,2.429917580631861,3.0334728033472804,6.0,0.996484800907147
beijing,11,50447,MaxWeight-VoU,0.16211877369795336,3.207683760503592,2.580195258019526,5.0,0.988415050916672
