window_id,seed,policy,loss,rmse,missed_vio,runtime
0,50260,CAW-VoU,0.0011453115774058575,0.15165111377963728,0.01394700139470014,175.14322527609258
0,50260,Whittle-exact,0.00027491740446304044,0.20353549942826882,0.0,342.70459969874344
0,50260,Whittle-heuristic,0.008151525529986057,0.7985233703014971,0.0,1.728267493783438
1,50277,CAW-VoU,0.010183350748953976,0.12216151033693898,0.16736401673640167,172.1574473221568
1,50277,Whittle-exact,0.3676428384909345,0.1985087709973666,6.122733612273361,619.0739403054787
1,50277,Whittle-heuristic,0.4181230539693166,0.2427643403329473,6.95955369595537,0.9851524142147077
2,50294,CAW-VoU,0.0016827825285913522,0.03462572935862502,0.02789400278940028,180.2950468912641
2,50294,Whittle-exact,0.216006022027894,0.13092081425977667,3.5983263598326363,412.1616708828822
2,50294,Whittle-heuristic,0.3048439515704323,0.15687300676927612,5.076708507670851,1.210918066980294
3,50311,CAW-VoU,0.000877920080892608,0.08087983629336559,0.01394700139470014,181.6775608327041
3,50311,Whittle-exact,0.010162931963737796,0.14186423375004686,0.16736401673640167,350.3535270585462
3,50311,Whittle-heuristic,0.01587661602336123,0.37839071869354246,0.23709902370990238,2.340595213312531
4,50328,CAW-VoU,0.007596160478730822,0.07315093150769235,0.12552301255230125,179.63611323858424
4,50328,Whittle-exact,0.4916707760505578,0.2159863927108257,8.186889818688982,702.2734750042744
4,50328,Whittle-heuristic,0.5209234268023013,0.16889729456520935,8.675034867503486,1.6907207741135162
5,50345,CAW-VoU,0.007544911399232915,0.038705803503033216,0.12552301255230125,176.58054430956395
5,50345,Whittle-exact,0.10383367471582984,0.10287783182532244,1.7294281729428171,503.4604491841313
5,50345,Whittle-heuristic,0.2511733045864714,0.11272186917811694,4.184100418410042,2.0831190962948405
6,50362,CAW-VoU,0.004199567316248256,0.04307269880239504,0.0697350069735007,89.19190307121985
6,50362,Whittle-exact,0.34328009481589955,0.15160866805519949,5.718270571827057,600.3164578619837
6,50362,Whittle-heuristic,0.1541129816004184,0.11814055609749323,2.5662482566248257,0.6720582761209474
7,50379,CAW-VoU,0.002737810951069271,0.18943499020721447,0.04184100418410042,94.7006155356081
7,50379,Whittle-exact,0.024365011812877733,0.2944139178082326,0.3905160390516039,427.0997177698663
7,50379,Whittle-heuristic,0.07130398884697041,0.6293920858292051,1.1157601115760112,1.0256530920620306
8,50396,CAW-VoU,0.0001002377136506276,0.1280258604589065,0.0,115.22372424257647
8,50396,Whittle-exact,0.00011444001017937402,0.13601590916165832,0.0,378.8068484937262
8,50396,Whittle-heuristic,0.0014562490646211068,0.34516975276172046,0.0,1.5176762719580195
9,50413,CAW-VoU,0.005368979791841005,0.5517442660860482,0.05578800557880056,77.38399754398186
9,50413,Whittle-exact,0.02538243538040446,0.8192022632953512,0.33472803347280333,435.11276021339177
9,50413,Whittle-heuristic,0.12217904810704323,2.3565583605058444,0.8368200836820083,1.1506255313746288
10,50430,CAW-VoU,0.002712247718270572,0.18718931433250885,0.04184100418410042,80.68215926350717
10,50430,Whittle-exact,0.0028834547775453286,0.23409009540856912,0.04184100418410042,459.33174352304303
10,50430,Whittle-heuristic,0.008991311677126919,0.7429737633221776,0.05578800557880056,1.1023602425997538
11,50447,CAW-VoU,0.0010277018218270571,0.18157593351952747,0.01394700139470014,60.78304689965468
11,50447,Whittle-exact,0.0011637186119246858,0.2386803817250954,0.01394700139470014,439.2097388451654
11,50447,Whittle-heuristic,0.01334009461436541,0.9067055023108673,0.0697350069735007,0.7573185188045032
12,50464,CAW-VoU,0.0002852764965132498,0.19395792105085488,0.0,75.41311929702844
12,50464,Whittle-exact,0.000913358479428173,0.29039698576173123,0.0,422.5618681255689
12,50464,Whittle-heuristic,0.01695978264923292,0.9974427093633433,0.0,0.7041148577376452
13,50481,CAW-VoU,0.006708219043584379,0.042198335795236436,0.11157601115760112,81.03495762341511
13,50481,Whittle-exact,0.19922042230404463,0.09639161618280642,3.319386331938633,740.5730644058316
13,50481,Whittle-heuristic,0.29976695495920497,0.13768359444825426,4.993026499302649,1.7559341339844525
14,50498,CAW-VoU,0.004215437387726638,0.06492338998606169,0.0697350069735007,91.88780868201903
14,50498,Whittle-exact,0.04359056482845188,0.10895779017739503,0.7252440725244073,704.4753909414726
14,50498,Whittle-heuristic,0.2018498229818689,0.13641451355168363,3.3612273361227336,5.240515443505174
15,50515,CAW-VoU,2.6619779637377942e-05,0.0650933253686727,0.0,86.03304160661921
15,50515,Whittle-exact,2.7635931659693138e-05,0.06677511540446694,0.0,373.98677065695256
15,50515,Whittle-heuristic,0.0007065435746164569,0.2157704830528861,0.0,0.9126948912639685
16,50532,CAW-VoU,3.836460808926082e-05,0.07762365123371157,0.0,67.7821095063542
16,50532,Whittle-exact,5.666252022315188e-05,0.08966492722267712,0.0,370.1156309539614
16,50532,Whittle-heuristic,0.002678150629009762,0.43916240907021087,0.0,0.8102326737190733
17,50549,CAW-VoU,2.7114700139470033e-05,0.0670945925592032,0.0,72.10294630538739
17,50549,Whittle-exact,0.000137394359832636,0.11271446094794521,0.0,359.2099104686465
17,50549,Whittle-heuristic,0.002956340440725246,0.5016176145751797,0.0,0.7908882384011171
18,50566,CAW-VoU,1.182991213389121e-05,0.0454468228986403,0.0,74.68964023017286
18,50566,Whittle-exact,1.8208454672245447e-05,0.05495865377830998,0.0,393.4791555481322
18,50566,Whittle-heuristic,0.0010044872203626217,0.3173995272552397,0.0,1.045122870271363
19,50583,CAW-VoU,7.785382426778249e-05,0.11804636946230847,0.0,61.80428114642241
19,50583,Whittle-exact,0.00014183231101813114,0.1595112044781418,0.0,416.9121443431105
19,50583,Whittle-heuristic,0.010880787669456066,0.9228003448247419,0.0,0.9151985522975296
20,50600,CAW-VoU,0.0025362002859135287,0.06335833228542874,0.04184100418410042,76.51232941420534
20,50600,Whittle-exact,0.03267521675034867,0.0733078928094286,0.5439330543933054,439.161419184103
20,50600,Whittle-heuristic,0.10781704221199442,0.27573710515480204,1.7852161785216178,0.9759383639720147
21,50617,CAW-VoU,2.7207984658298425e-05,0.06530715507071481,0.0,73.06745556481748
21,50617,Whittle-exact,4.3939673640167364e-05,0.0790101167511213,0.0,416.2503250877745
21,50617,Whittle-heuristic,0.0013557458047419807,0.26268800165367456,0.0,1.6026321045273066
22,50634,CAW-VoU,3.305278940027893e-06,0.024403992407643113,0.0,72.26625139748086
22,50634,Whittle-exact,3.964831241283121e-06,0.027180287402496558,0.0,403.7579526527099
22,50634,Whittle-heuristic,0.00019337416039051647,0.14086123148516214,0.0,0.7230622091605309
23,50651,CAW-VoU,0.00687646054358438,0.17828708856568512,0.11157601115760112,62.52580066954339
23,50651,Whittle-exact,0.039789042280683404,0.2774276921412666,0.6555090655509066,419.77383486612865
23,50651,Whittle-heuristic,0.1502714909668759,0.8871137083927,2.3709902370990235,0.6803646986908571
24,50668,CAW-VoU,6.358197629009772e-05,0.09922208294587884,0.0,89.90372911304583
24,50668,Whittle-exact,7.190398047419815e-05,0.10873072962939227,0.0,362.96733422594525
24,50668,Whittle-heuristic,0.004102261684797768,0.5927461304112976,0.0,0.8675293597757083
25,50685,CAW-VoU,3.6277768479776808e-06,0.025840135391896994,0.0,86.80912769030854
25,50685,Whittle-exact,4.7553919107392166e-06,0.028797652338307212,0.0,353.0223473346847
25,50685,Whittle-heuristic,0.0002808481129707107,0.16413913727462529,0.0,0.8713534351722746
26,50702,CAW-VoU,6.414489539748942e-06,0.03294355728845889,0.0,76.31550741001523
26,50702,Whittle-exact,8.70580334728035e-06,0.03920726742782484,0.0,307.22076180753896
26,50702,Whittle-heuristic,0.0006943775648535569,0.25463229522763053,0.0,0.7256607782723047
27,50719,CAW-VoU,8.671619525801943e-05,0.10913777088809261,0.0,76.92036467785051
27,50719,Whittle-exact,7.337849093444903e-05,0.10709515952654741,0.0,296.79576330964363
27,50719,Whittle-heuristic,0.0022874095941422595,0.432042909630453,0.0,1.6306633974579416
28,50736,CAW-VoU,0.0012019389023709903,0.19426744843374813,0.01394700139470014,63.85807989534891
28,50736,Whittle-exact,0.0011529977433751741,0.20586385635742863,0.01394700139470014,287.5391910710882
28,50736,Whittle-heuristic,0.008955970489539748,0.736559454545541,0.0,0.7340474644574535
29,50753,CAW-VoU,0.004084884032078103,0.35748896320249285,0.05578800557880056,49.144583702974884
29,50753,Whittle-exact,0.021529025782426776,0.43813081600542314,0.33472803347280333,270.9672283723407
29,50753,Whittle-heuristic,0.09286646967503487,1.4776716462009285,1.1018131101813111,0.8403508117564693
